probe	filter_type	ar_method	period_number	period	amplitude	phase	phi	R_square	R2_adjust	coef_var	pvalue
255931_at	0	mle	1	22.81142857	0.657709024	13.17158131	2.65520182	0.756124826	0.707349791	0.472523159	0.000862657
247550_at	1	mle	1	26.79194631	0.181258696	9.776757412	-2.292822545	0.755739518	0.706887422	0.174944274	0.000869493
264654_s_at	0	yule-walker	2	"27.5310344828,20.5773195876"	"0.110792448299,0.119682120808"	"3.59192619959,13.6497849605"	2.115289292	0.882181586	0.823272379	0.139285518	0.000872627
264054_at	0	mle	1	22.42696629	0.267391785	9.416815805	-2.638234612	0.755435734	0.706522881	0.206348149	0.000874913
261220_at	1	mle	1	22.30167598	0.17992408	0.186520113	-0.052549433	0.755375238	0.706450285	0.170022389	0.000875996
248710_at	1	yule-walker	1	24.95	0.131529057	12.57347114	3.116794561	0.755359231	0.706431077	0.10871933	0.000876283
253048_at	0	mle	1	21.81420765	0.315975746	0.817993348	-0.235608089	0.755375001	0.706450001	0.301527393	0.000876
260731_at	1	mle	1	23.48235294	0.181077602	7.241793488	-1.937690425	0.754910597	0.705892716	0.163650635	0.000884347
261253_at	0	mle	1	24.64197531	0.246110719	7.530491119	-1.920116815	0.754931419	0.705917703	0.211498358	0.000883971
247284_at	1	mle	1	22.81142857	0.201926473	11.2224213	-3.09110639	0.754799531	0.705759438	0.179168809	0.000886353
257227_at	0	burg	1	22.05524862	0.18619332	19.42342785	0.749763373	0.754572124	0.705486548	0.148857752	0.00089047
261608_at	0	burg	1	23.20930233	0.370733032	13.20076412	2.709495501	0.75436011	0.705232131	0.287159862	0.000894323
266938_at	0	mle	1	23.76190476	0.311414714	16.54948559	1.907126833	0.754392565	0.705271078	0.333899032	0.000893732
266384_at	1	yule-walker	1	24.04819277	0.278897711	16.83157538	1.885519832	0.75438489	0.705261868	0.241848407	0.000893872
251919_at	0	mle	1	23.07514451	1.804564874	11.01182186	-2.998434845	0.754461857	0.705354228	0.770770216	0.000892472
253638_at	1	default	1	24	0.449724429	22.25286915	0.457397787	0.754392211	0.705270653	0.370746522	0.000893739
252092_at	0	mle	1	23.07514451	0.202300788	17.78188166	1.441314977	0.754211341	0.705053609	0.173667367	0.000897035
257176_s_at	0	yule-walker	1	22.68181818	0.278156414	21.48032776	0.332829887	0.754199052	0.705038863	0.213320705	0.000897259
258034_at	0	yule-walker	1	24.04819277	0.28544632	12.9609843	2.896807508	0.754196398	0.705035678	0.234867049	0.000897307
257772_at	1	burg	1	22.17777778	0.398056866	7.738452498	-2.192380658	0.754186815	0.705024178	0.326887737	0.000897482
246247_at	1	mle	1	24.49079755	0.303369998	20.00891356	1.149840367	0.754092513	0.704911015	0.239897601	0.000899205
266582_at	0	mle	1	25.75483871	0.137889787	11.88904531	-2.900467585	0.75395421	0.704745052	0.127079628	0.000901737
254646_at	0	mle	1	23.07514451	0.563540252	10.282913	-2.799958538	0.753904497	0.704685397	0.40959292	0.000902648
258693_at	0	mle	1	21.57837838	0.061379459	12.64850436	2.600197858	0.753838566	0.704606279	0.051145314	0.000903858
266259_at	1	mle	1	22.05524862	0.457304872	12.30561689	2.777513139	0.753768068	0.704521682	0.356829439	0.000905153
245043_at	1	mle	1	22.81142857	0.110719873	10.69691463	-2.946360708	0.753680134	0.70441616	0.092862215	0.00090677
259015_at	1	mle	1	23.90419162	1.671209475	5.462388657	-1.43578167	0.753516954	0.704220345	1.034080272	0.000909778
260616_at	1	mle	1	22.81142857	0.167319081	20.48187253	0.641653469	0.753436878	0.704124254	0.140979239	0.000911256
262604_at	0	mle	1	21.93406593	0.125763373	2.403111704	-0.688390205	0.753330217	0.703996261	0.12087346	0.000913229
266424_at	1	burg	1	21.93406593	0.260556812	1.438806593	-0.412157439	0.753335502	0.704002603	0.228072946	0.000913131
266001_at	0	burg	1	22.05524862	0.12144922	5.831611425	-1.661332223	0.753252089	0.703902507	0.102563282	0.000914676
249220_at	1	burg	1	21.81420765	0.334859611	14.24327261	2.180669982	0.753143777	0.703772533	0.255619552	0.000916686
246508_at	0	mle	1	22.68181818	0.187259046	9.9346466	-2.752038	0.753071824	0.703686189	0.139179814	0.000918022
263320_at	0	mle	1	25.42675159	0.454611264	5.03112811	-1.243238253	0.752992049	0.703590459	0.371824586	0.000919506
261901_at	0	mle	1	23.20930233	0.723170804	8.204842966	-2.221202001	0.752865302	0.703438362	0.493549198	0.000921868
